Fout	Lin	Lout	sono
1.1713243	0.34123513	4.8316646	9.9438124
1.1619686	0.54999638	4.8341875	9.9808388
1.1635278	0.6669414	4.8316646	9.960269
1.1635278	0.75263667	4.8308239	9.9561548
1.1604093	0.80611563	4.8333464	9.9849529
1.1682056	0.83929843	4.8333464	9.9767246
1.1666464	0.86313844	4.8341875	9.9643831
1.1588501	0.86925954	4.8316646	9.9684963
1.1572908	0.8757028	4.8308239	9.9273567
1.1666464	0.87505847	4.8325057	9.9726105
1.1744428	0.87183684	4.8325057	9.960269
1.1635278	0.88472337	4.8316646	10.017865
1.1604093	0.88246822	4.8325057	9.960269
1.1619686	0.8757028	4.8333464	9.9849529
1.1619686	0.87312549	4.8325057	9.9767246
1.1541722	0.87087035	4.8316646	9.9684963
1.1697649	0.86668223	4.8316646	9.9355841
1.1775613	0.86700439	4.8325057	9.960269
1.1697649	0.86184978	4.8341875	9.9767246
1.1666464	0.88568985	4.8316646	10.001409
1.1619686	0.87731361	4.8325057	9.9479265
1.1697649	0.89084446	4.8325057	9.9726105
1.176002	0.88117957	4.8350282	9.9479265
1.1650871	0.88697851	4.8325057	9.9808388
1.1635278	0.88762283	4.8325057	9.9479265
1.1572908	0.89632124	4.8325057	9.9890671
1.1728835	0.89342177	4.8333464	9.9684963
1.1697649	0.88826716	4.8333464	9.9890671
1.1697649	0.88117957	4.8325057	9.9561548
1.1572908	0.87248117	4.8341875	9.9643831
1.1650871	0.88150173	4.8333464	9.9643831
1.1713243	0.87473631	4.8333464	9.9520407
1.1666464	0.87376982	4.8341875	9.9355841
1.1697649	0.87473631	4.8333464	9.9890671
1.1744428	0.87602496	4.8333464	9.9396982
1.1635278	0.87666929	4.8316646	9.9972944
1.1666464	0.88762283	4.8333464	9.9849529
1.1682056	0.87022603	4.8316646	9.9643831
1.1650871	0.87312549	4.8333464	9.9684963
1.1650871	0.87666929	4.8333464	9.9643831
1.1682056	0.87312549	4.8341875	9.9150143
1.1635278	0.87312549	4.8350282	9.9520407
1.1619686	0.88117957	4.8333464	9.9643831
1.1713243	0.87892443	4.8316646	9.9561548
1.176002	0.8905223	4.8333464	9.960269
1.1619686	0.88955581	4.8325057	9.9808388
1.1728835	0.87956876	4.8333464	9.9643831
1.1666464	0.88311255	4.8325057	9.960269
1.1666464	0.87248117	4.8333464	9.9767246
1.1588501	0.8757028	4.8316646	9.9931812
1.1650871	0.87699145	4.8325057	9.9561548
1.1728835	0.87022603	4.8333464	9.9643831
1.1713243	0.86700439	4.8341875	9.9520407
1.1572908	0.88311255	4.8316646	9.9767246
1.1666464	0.872159	4.8333464	9.9479265
1.1713243	0.89535475	4.8316646	9.9849529
1.1713243	0.8966434	4.8341875	9.9726105
1.1650871	0.87666929	4.8325057	9.9643831
1.1682056	0.87634712	4.8333464	9.9438124
1.1650871	0.87151468	4.8325057	9.9684963
1.1666464	0.88472337	4.8325057	9.9726105
1.1619686	0.88923365	4.8316646	10.001409
1.1619686	0.88665634	4.8333464	9.9767246
1.1697649	0.88214606	4.8316646	9.9726105
1.1806798	0.87151468	4.8341875	9.9520407
1.1728835	0.88697851	4.8325057	9.9684963
1.1713243	0.87505847	4.8333464	9.9684963
1.1541722	0.86636007	4.8316646	9.9396982
1.1666464	0.87473631	4.8350282	10.009637
1.1635278	0.88214606	4.8350282	9.960269
1.1650871	0.87924659	4.8325057	9.9684963
1.1744428	0.86797088	4.8308239	9.9520407
1.1619686	0.87376982	4.8333464	9.9931812
1.1635278	0.88279039	4.8333464	9.9890671
1.1619686	0.89374393	4.8333464	9.9808388
1.1713243	0.88279039	4.8325057	9.960269
1.176002	0.87956876	4.8333464	9.9643831
1.1713243	0.8844012	4.8316646	9.9643831
1.1635278	0.88923365	4.8350282	9.9808388
1.1635278	0.89342177	4.8325057	9.9767246
1.1697649	0.89084446	4.8325057	9.9726105
1.1635278	0.89438826	4.8325057	9.9890671
1.1713243	0.89084446	4.8325057	9.9808388
1.1666464	0.89020014	4.8333464	9.9479265
1.1635278	0.87989092	4.8333464	9.9479265
1.1635278	0.8634606	4.8333464	9.9561548
1.1619686	0.87151468	4.8333464	9.9479265
1.1728835	0.86764872	4.8325057	9.9479265
1.1713243	0.89084446	4.8333464	9.9684963
1.1572908	0.88955581	4.8308239	9.9726105
1.1713243	0.87505847	4.8341875	9.9561548
1.1619686	0.90147579	4.8308239	10.009637
1.1666464	0.89986497	4.8333464	9.960269
1.1713243	0.90340877	4.8333464	9.9684963
1.1744428	0.88343471	4.8333464	9.9438124
1.1650871	0.88987797	4.8325057	9.9767246
1.1744428	0.86893737	4.8341875	9.9355841
1.1697649	0.87666929	4.8333464	9.9561548
1.1697649	0.87602496	4.8316646	9.9849529
1.1744428	0.87376982	4.8333464	9.9438124
1.176002	0.87312549	4.8333464	9.960269
1.1713243	0.88117957	4.8325057	9.9438124
1.1650871	0.88923365	4.8333464	9.9561548
1.1650871	0.89922065	4.8325057	9.9808388
1.1635278	0.90469742	4.8333464	9.9643831
1.1588501	0.88762283	4.8316646	10.009637
1.1697649	0.89728773	4.8316646	9.9684963
1.1728835	0.87409198	4.8341875	9.9438124
1.1713243	0.87731361	4.8333464	9.9438124
1.1682056	0.87248117	4.8325057	9.960269
1.1635278	0.86990386	4.8333464	9.9520407
1.1666464	0.88697851	4.8316646	9.9808388
1.1728835	0.87344766	4.8350282	9.9561548
1.1666464	0.89245528	4.8316646	10.026093
1.1650871	0.86410493	4.8333464	9.960269
1.1572908	0.87924659	4.8333464	9.9726105
1.1650871	0.88246822	4.8350282	9.9643831
1.1619686	0.88568985	4.8333464	10.001409
1.1682056	0.89181095	4.8341875	9.9643831
1.1619686	0.89213312	4.8316646	9.9767246
1.1728835	0.88536769	4.8341875	9.9438124
