Fout	Lin	Lout	sono
0.79242265	0.61024076	5.1385736	8.968791
0.79554123	0.67757279	5.1394143	8.9235363
0.80333757	0.72106469	5.1410961	8.9646769
0.79710048	0.75521398	5.1402555	8.968791
0.80177832	0.77261072	5.1385736	8.9893608
0.79242265	0.78968537	5.1436191	8.9523344
0.79554123	0.79838377	5.1385736	8.9811325
0.79710048	0.8016054	5.1394143	8.9564486
0.80645609	0.79741728	5.1402555	8.9441061
0.81113386	0.80482697	5.1410961	8.9399929
0.81113386	0.80192757	5.1419373	8.9276505
0.80177832	0.80804861	5.1385736	8.9605627
0.81425238	0.79355133	5.1402555	8.9482203
0.79242265	0.78871888	5.1385736	8.9441061
0.80177832	0.80321616	5.1402555	8.968791
0.79710048	0.79580647	5.1410961	8.9523344
0.81269312	0.80611563	5.1419373	8.9564486
0.80801529	0.80063891	5.1410961	8.9441061
0.79242265	0.79999459	5.1419373	8.9523344
0.79242265	0.80772644	5.1385736	8.9605627
0.800219	0.80998158	5.1394143	8.9770184
0.80489683	0.80321616	5.1402555	8.9482203
0.78930414	0.79838377	5.1410961	8.9564486
0.80177832	0.81706917	5.1419373	8.9811325
0.80957454	0.79355133	5.1419373	8.9399929
0.81113386	0.79355133	5.1410961	8.9605627
0.81269312	0.78710806	5.1410961	8.9399929
0.80957454	0.80740428	5.1410961	8.9399929
0.80801529	0.80063891	5.1394143	8.9564486
0.79710048	0.79967242	5.1402555	8.9646769
0.81113386	0.79773945	5.1410961	8.9523344
0.800219	0.80708212	5.1394143	8.9358788
0.79710048	0.8177135	5.1419373	8.9729042
0.79865974	0.81545836	5.1394143	8.9770184
0.80177832	0.82222378	5.1385736	8.9729042
0.80645609	0.80192757	5.1419373	8.9399929
0.80957454	0.79741728	5.1410961	8.9276505
0.80801529	0.80192757	5.1410961	8.9729042
0.79398197	0.80128324	5.1385736	8.9482203
0.79554123	0.8090151	5.1402555	8.9852467
0.80333757	0.78743023	5.1402555	8.9194221
0.800219	0.80321616	5.1402555	8.9770184
0.80333757	0.79387349	5.1419373	8.9399929
0.80801529	0.79580647	5.1410961	8.9482203
0.80489683	0.78968537	5.1402555	8.9399929
0.80489683	0.79645079	5.1402555	8.9811325
0.79242265	0.79612863	5.1410961	8.9605627
0.80645609	0.80611563	5.1419373	8.9605627
0.80177832	0.79612863	5.1410961	8.9358788
0.79865974	0.81545836	5.1410961	8.9646769
0.800219	0.82061297	5.1419373	9.0058165
0.79398197	0.81835783	5.1410961	8.9441061
0.80801529	0.80096108	5.1427779	8.9358788
0.81113386	0.78324211	5.1394143	8.9358788
0.80177832	0.77937615	5.1394143	8.9399929
0.800219	0.78904104	5.1394143	8.968791
0.80645609	0.80386049	5.1419373	8.9605627
0.80333757	0.80933726	5.1402555	8.9564486
0.80333757	0.79773945	5.1419373	8.9729042
0.79865974	0.802894	5.1385736	8.9482203
0.80489683	0.82480109	5.1402555	8.9975891
0.80177832	0.81062591	5.1394143	8.9564486
0.80177832	0.792907	5.1410961	8.993475
0.81425238	0.78485292	5.1419373	8.9482203
0.81425238	0.79097402	5.1410961	8.9441061
0.80333757	0.80031675	5.1410961	8.9605627
0.79554123	0.79935026	5.1385736	8.9605627
0.80177832	0.80998158	5.1402555	8.9811325
0.800219	0.81642485	5.1394143	8.9605627
0.80801529	0.8177135	5.1419373	8.9482203
0.80489683	0.81320322	5.1427779	8.993475
0.80489683	0.81062591	5.1394143	8.9770184
0.79242265	0.8016054	5.1385736	8.9646769
0.78930414	0.81642485	5.1410961	8.9852467
0.80801529	0.81481403	5.1410961	8.9523344
0.81425238	0.79483998	5.1410961	8.9070807
0.80645609	0.80708212	5.1402555	8.9770184
0.80801529	0.78839672	5.1402555	8.9194221
0.81425238	0.80514914	5.1394143	8.9646769
0.80177832	0.79935026	5.1385736	8.9482203
0.80177832	0.802894	5.1410961	8.9482203
0.79086339	0.81320322	5.1394143	8.9975891
0.80489683	0.81384754	5.1410961	8.9482203
0.78930414	0.82737839	5.1394143	9.0017033
0.79710048	0.81932431	5.1402555	8.9646769
0.80177832	0.8016054	5.1410961	8.9317646
0.79086339	0.79838377	5.1394143	8.968791
0.79710048	0.80450481	5.1394143	8.9523344
0.80333757	0.79741728	5.1410961	8.9523344
0.80957454	0.79387349	5.1419373	8.9358788
0.79086339	0.79483998	5.1385736	8.9770184
0.79710048	0.7806648	5.1410961	8.9523344
0.80801529	0.8016054	5.1385736	8.9605627
0.79710048	0.80579346	5.1410961	8.968791
0.80489683	0.79322916	5.1410961	8.9482203
0.79398197	0.78807455	5.1394143	8.993475
0.80177832	0.80031675	5.1394143	8.9482203
0.80489683	0.79355133	5.1410961	8.9399929
0.79242265	0.8141697	5.1410961	8.9852467
0.80177832	0.80321616	5.1394143	8.9523344
0.80645609	0.81835783	5.1410961	8.9646769
0.81269312	0.80675995	5.1410961	8.9317646
0.800219	0.8202908	5.1419373	8.9811325
0.79398197	0.80998158	5.1419373	8.9852467
0.79710048	0.8090151	5.1385736	8.9729042
0.800219	0.8016054	5.1410961	8.9605627
0.80333757	0.79677296	5.1419373	8.9564486
0.80333757	0.81094807	5.1394143	8.9852467
0.80489683	0.79065186	5.1410961	8.9482203
0.79865974	0.79612863	5.1402555	8.9358788
0.81113386	0.79419565	5.1419373	8.9441061
0.79554123	0.80579346	5.1385736	8.968791
0.80801529	0.81191456	5.1419373	8.9729042
0.80333757	0.79612863	5.1402555	8.9317646
0.80489683	0.80933726	5.1402555	8.9646769
0.80489683	0.79451782	5.1402555	8.9235363
0.80489683	0.78581941	5.1394143	8.9646769
0.80177832	0.79580647	5.1402555	8.9523344
0.80801529	0.80675995	5.1410961	8.9482203
0.80957454	0.81094807	5.1419373	8.9605627
0.80177832	0.8115924	5.1402555	8.9564486
0.80333757	0.79870594	5.1394143	8.9605627
0.800219	0.80837077	5.1402555	8.9646769
0.80489683	0.8054713	5.1394143	8.9523344
0.79086339	0.8141697	5.1385736	9.0017033
0.79710048	0.81545836	5.1385736	8.993475
0.79398197	0.81320322	5.1402555	8.9605627
0.79710048	0.81191456	5.1402555	8.9523344
0.80801529	0.79773945	5.1402555	8.9646769
0.80801529	0.80772644	5.1402555	8.9646769
0.79710048	0.81223673	5.1394143	8.9852467
0.80957454	0.81835783	5.1419373	8.9441061
0.80489683	0.82061297	5.1402555	8.9646769
0.80177832	0.82254595	5.1410961	8.9605627
0.78930414	0.81803566	5.1394143	8.9729042
0.78930414	0.80643779	5.1402555	8.9564486
0.79554123	0.83704329	5.1394143	9.0140448
0.78774488	0.82480109	5.1410961	8.9811325
0.80801529	0.8141697	5.1419373	8.9564486
0.79554123	0.79161835	5.1394143	8.9646769
0.80801529	0.78324211	5.1402555	8.9523344
0.80645609	0.80031675	5.1402555	8.9646769
0.81425238	0.79387349	5.1419373	8.9317646
0.81113386	0.77937615	5.1402555	8.9317646
0.800219	0.78710806	5.1427779	8.9523344
0.800219	0.802894	5.1394143	8.9605627
0.800219	0.8090151	5.1402555	8.9523344
0.80957454	0.81094807	5.1402555	8.9646769
0.78930414	0.80998158	5.1402555	8.9729042
0.78774488	0.81288105	5.1402555	8.9975891
0.800219	0.82931137	5.1410961	8.9893608
0.81113386	0.80643779	5.1402555	8.9358788
0.79865974	0.81932431	5.1419373	8.9811325
0.80801529	0.80611563	5.1410961	8.9605627
0.800219	0.80482697	5.1394143	8.9441061
0.80489683	0.79935026	5.1410961	8.9564486
0.80957454	0.79967242	5.1402555	8.9482203
