Fout	Lin	Lout	sono
1.6375446	0.56997049	4.9132266	16.024334
1.6359854	0.87634712	4.9107046	16.016106
1.6328669	1.0673896	4.9098635	16.040791
1.6328669	1.1643606	4.9098635	16.011992
1.6359854	1.2278268	4.9098635	16.016106
1.6328669	1.2716409	4.9098635	15.995536
1.6344261	1.3048238	4.9123859	16.028448
1.6297482	1.3199654	4.9115453	16.032562
1.6375446	1.3302746	4.9115453	15.99965
1.6344261	1.354759	4.9115453	16.028448
1.6297482	1.3673234	4.9123859	16.057247
1.6266297	1.3682898	4.9107046	16.036676
1.6344261	1.3624909	4.9132266	16.032562
1.6359854	1.3618466	4.9107046	16.02022
1.6297482	1.3811764	4.9098635	16.061359
1.6359854	1.3592693	4.9115453	15.99965
1.6359854	1.34896	4.9132266	16.016106
1.6359854	1.3444498	4.9115453	15.995536
1.6313075	1.3415504	4.9107046	16.007879
1.6359854	1.3544369	4.9115453	16.024334
1.6328669	1.3502487	4.9115453	16.024334
1.6313075	1.3360735	4.9107046	16.016106
1.6375446	1.3518596	4.9098635	16.003763
1.6359854	1.3441277	4.9115453	15.983194
1.6391039	1.3425168	4.9098635	15.99965
1.6297482	1.3260865	4.9123859	15.991423
1.6328669	1.3560476	4.9123859	16.040791
1.6313075	1.3631352	4.9107046	16.02022
1.6359854	1.3550812	4.9132266	16.016106
1.6328669	1.3663568	4.9098635	16.057247
1.628189	1.34896	4.9107046	16.016106
1.6313075	1.3499266	4.9098635	15.99965
1.6375446	1.3557255	4.9123859	16.02022
1.6375446	1.3476714	4.9115453	16.011992
1.6344261	1.3421947	4.9115453	15.991423
1.6313075	1.3334962	4.9132266	16.007879
1.6375446	1.3483157	4.9098635	16.040791
1.6344261	1.3222206	4.9123859	15.987308
1.6344261	1.3286638	4.9115453	16.011992
1.6359854	1.3309189	4.9107046	16.02022
1.6328669	1.3399395	4.9123859	16.003763
1.6375446	1.3412281	4.9098635	15.983194
1.6328669	1.3434833	4.9123859	15.987308
1.6375446	1.3608801	4.9098635	16.044905
1.6375446	1.372478	4.9107046	16.032562
1.6359854	1.3728001	4.9115453	16.02022
1.6344261	1.3644239	4.9115453	16.016106
1.6297482	1.3460606	4.9132266	15.987308
1.6359854	1.3450941	4.9115453	16.016106
1.6313075	1.3557255	4.9123859	16.003763
1.6344261	1.3518596	4.9115453	16.011992
1.6344261	1.3554033	4.9123859	16.016106
1.6344261	1.34896	4.9098635	16.032562
1.6313075	1.3554033	4.9098635	16.044905
1.6375446	1.3605579	4.9098635	16.028448
1.6375446	1.3560476	4.9115453	16.024334
1.6313075	1.3460606	4.9107046	15.991423
1.6406631	1.3351071	4.9115453	16.02022
1.6359854	1.340906	4.9098635	15.991423
1.6375446	1.356692	4.9115453	16.024334
1.6391039	1.3483157	4.9098635	16.007879
1.6313075	1.3434833	4.9098635	16.016106
1.6344261	1.3537925	4.9123859	16.007879
1.6313075	1.3612022	4.9098635	16.02022
1.6344261	1.3608801	4.9123859	16.044905
1.6406631	1.3637795	4.9107046	16.02022
1.6313075	1.3592693	4.9132266	16.011992
1.6297482	1.3595915	4.9123859	16.003763
1.6328669	1.3534703	4.9123859	16.024334
1.6344261	1.3715115	4.9115453	16.036676
1.6359854	1.3628131	4.9107046	16.02022
1.6328669	1.3541147	4.9107046	16.02022
1.6359854	1.3415504	4.9107046	16.003763
1.6328669	1.3512152	4.9098635	16.024334
1.6328669	1.3399395	4.9107046	15.987308
1.6297482	1.3376844	4.9107046	16.049019
1.6359854	1.3264086	4.9098635	16.003763
1.6313075	1.3218983	4.9115453	16.02022
1.6328669	1.3505709	4.9107046	16.016106
1.6266297	1.3615245	4.9132266	16.011992
1.6313075	1.3486379	4.9115453	15.991423
1.6344261	1.3399395	4.9098635	15.99965
1.6359854	1.3570142	4.9107046	16.036676
1.6328669	1.3499266	4.9107046	16.007879
1.6328669	1.3518596	4.9115453	16.02022
1.6375446	1.3363957	4.9115453	16.003763
1.6344261	1.3360735	4.9098635	16.016106
1.628189	1.3460606	4.9132266	16.007879
1.6359854	1.340906	4.9123859	15.99965
1.6375446	1.3347849	4.9123859	16.007879
1.6359854	1.3438054	4.9115453	16.007879
1.6266297	1.3383287	4.9098635	16.007879
1.6313075	1.3396174	4.9115453	16.003763
1.6359854	1.3450941	4.9107046	16.024334
1.6250705	1.3615245	4.9107046	16.032562
1.6391039	1.3676455	4.9115453	16.032562
1.6313075	1.382465	4.9098635	16.036676
1.6297482	1.3901969	4.9115453	16.040791
1.6313075	1.3918078	4.9115453	16.02022
1.6344261	1.3776326	4.9123859	15.983194
1.6328669	1.3782769	4.9115453	16.040791
1.6359854	1.3634574	4.9098635	16.011992
1.628189	1.3550812	4.9107046	16.024334
1.6328669	1.3296303	4.9123859	16.007879
1.6375446	1.3341405	4.9115453	16.024334
1.6313075	1.3479936	4.9107046	16.040791
1.6359854	1.3573363	4.9107046	16.016106
1.6313075	1.3666791	4.9123859	16.024334
1.6328669	1.3525039	4.9115453	16.003763
1.6344261	1.3634574	4.9098635	16.032562
1.6359854	1.3789213	4.9123859	16.040791
1.6313075	1.3827872	4.9090228	16.044905
1.6313075	1.3740888	4.9098635	16.02022
1.628189	1.3618466	4.9115453	16.016106
1.6375446	1.3641018	4.9107046	16.011992
1.6344261	1.3666791	4.9123859	16.02022
1.6313075	1.3450941	4.9098635	15.99965
1.6344261	1.3380065	4.9123859	15.987308
1.6250705	1.3360735	4.9115453	15.995536
1.6313075	1.3383287	4.9098635	16.016106
1.6359854	1.3386508	4.9098635	16.024334
1.6313075	1.3525039	4.9115453	16.049019
1.6375446	1.3615245	4.9123859	16.028448
1.6313075	1.3570142	4.9115453	16.028448
1.6313075	1.3592693	4.9123859	16.016106
1.6359854	1.3650682	4.9098635	16.028448
1.6297482	1.3544369	4.9132266	16.003763
1.6313075	1.3579806	4.9115453	16.032562
1.6344261	1.3392951	4.9107046	16.011992
1.6359854	1.3692564	4.9107046	16.065475
1.6375446	1.3515373	4.9123859	15.995536
1.6344261	1.3541147	4.9107046	16.02022
1.6313075	1.342839	4.9132266	15.979079
1.6313075	1.3331741	4.9115453	15.991423
1.6328669	1.3586249	4.9098635	16.040791
1.628189	1.3505709	4.9107046	16.032562
1.6313075	1.34896	4.9132266	16.016106
1.6313075	1.3473493	4.9115453	16.011992
1.6344261	1.3457384	4.9115453	16.007879
1.6297482	1.3421947	4.9098635	16.011992
1.6328669	1.3425168	4.9115453	16.016106
1.6297482	1.3370401	4.9107046	15.99965
1.6406631	1.3454163	4.9115453	16.024334
1.6313075	1.3515373	4.9107046	16.032562
1.6313075	1.3647461	4.9107046	16.040791
1.6313075	1.3621688	4.9123859	16.036676
1.6359854	1.3779547	4.9107046	16.036676
1.6328669	1.3934186	4.9123859	16.049019
1.6328669	1.378599	4.9115453	16.024334
1.6344261	1.3699007	4.9090228	16.028448
1.6328669	1.356692	4.9107046	16.036676
1.6328669	1.3673234	4.9107046	16.02022
1.6313075	1.34896	4.9098635	16.011992
1.6297482	1.3405838	4.9107046	16.02022
1.6266297	1.3534703	4.9098635	16.02022
