Fout	Lin	Lout	sono
1.8386899	0.47493255	9.7027006	14.144227
1.8386899	0.76552314	9.7018595	14.131884
1.8418084	0.94013536	9.7010193	14.135999
1.8386899	1.0596577	9.7027006	14.131884
1.8324529	1.1054049	9.7035418	14.111315
1.8371307	1.1286006	9.7035418	14.111315
1.8355714	1.1685488	9.7052231	14.144227
1.8402492	1.2049532	9.7027006	14.164796
1.8355714	1.2136517	9.7035418	14.123656
1.8324529	1.21043	9.7035418	14.12777
1.8386899	1.1975435	9.7018595	14.140112
1.8293343	1.1930332	9.7018595	14.098971
1.8262157	1.1836904	9.7043829	14.098971
1.8340122	1.1862677	9.7018595	14.1072
1.8371307	1.1894894	9.7018595	14.115428
1.8293343	1.1891673	9.7018595	14.156569
1.8340122	1.2194506	9.7052231	14.140112
1.8262157	1.2213836	9.7027006	14.119543
1.827775	1.2258939	9.7027006	14.12777
1.8355714	1.2136517	9.7027006	14.123656
1.8246565	1.2213836	9.7035418	14.103086
1.827775	1.2345922	9.7018595	14.119543
1.8308936	1.216229	9.7035418	14.115428
1.827775	1.194644	9.7043829	14.103086
1.8246565	1.2010872	9.7035418	14.1072
1.8262157	1.2055975	9.7052231	14.115428
1.8246565	1.2120408	9.7035418	14.156569
1.8246565	1.2043089	9.7027006	14.123656
1.8262157	1.2046311	9.7027006	14.12777
1.8184195	1.2188063	9.7027006	14.131884
1.8246565	1.2094635	9.7052231	14.123656
1.8246565	1.2113965	9.7010193	14.144227
1.8230972	1.1933553	9.7027006	14.115428
1.8230972	1.212363	9.7027006	14.156569
1.8153011	1.216229	9.7043829	14.119543
1.8199787	1.220417	9.7043829	14.144227
1.8184195	1.2249273	9.7018595	14.135999
1.8121825	1.2265382	9.7043829	14.156569
1.8121825	1.2255716	9.7018595	14.103086
1.8121825	1.2146181	9.7035418	14.111315
1.8153011	1.2014095	9.7027006	14.131884
1.8168603	1.1914223	9.7010193	14.12777
1.8106232	1.1949662	9.7018595	14.123656
1.8075047	1.2062418	9.7035418	14.135999
1.8075047	1.1943219	9.7027006	14.140112
1.8137418	1.2023759	9.7027006	14.111315
1.8043861	1.2010872	9.7018595	14.098971
1.8059454	1.2107521	9.7035418	14.115428
1.8090639	1.2207392	9.7035418	14.131884
1.8028269	1.2152624	9.7035418	14.14834
1.8059454	1.2152624	9.7035418	14.119543
1.8012676	1.216229	9.7027006	14.135999
1.8028269	1.2175176	9.7027006	14.111315
1.8028269	1.2068862	9.7018595	14.111315
1.7981491	1.1962548	9.7027006	14.111315
1.8012676	1.2155846	9.7035418	14.152455
1.8012676	1.2181619	9.7018595	14.14834
1.7981491	1.2136517	9.7027006	14.164796
1.7934712	1.1920667	9.7027006	14.135999
