Fout	Lin	Lout	sono
1.0871239	0.43949467	5.3227191	9.9355841
1.0902424	0.60669702	5.3235598	9.9273567
1.0886831	0.71752095	5.3244014	9.9232426
1.0824461	0.78002048	5.325242	9.9150143
1.0855646	0.81223673	5.3260827	9.9109001
1.0886831	0.84703034	5.325242	9.9273567
1.0824461	0.86120546	5.3269234	9.9109001
1.0980387	0.86217195	5.3260827	9.9232426
1.0855646	0.88536769	5.325242	9.9314709
1.0949202	0.87183684	5.3260827	9.8862162
1.0902424	0.88955581	5.3227191	9.9150143
1.0886831	0.88568985	5.3244014	9.9479265
1.0824461	0.87473631	5.3244014	9.9191284
1.0871239	0.86797088	5.3235598	9.9273567
1.0918016	0.88021308	5.3260827	9.9355841
1.0949202	0.8695817	5.3260827	9.906786
1.0871239	0.87151468	5.3235598	9.906786
1.0902424	0.89116663	5.3269234	9.9273567
1.0793276	0.89438826	5.3244014	9.9355841
1.0918016	0.89599907	5.3260827	9.9355841
1.0918016	0.88762283	5.325242	9.9150143
1.0902424	0.88891149	5.3260827	9.8944445
1.0933609	0.88633418	5.3260827	9.906786
1.0808868	0.87731361	5.325242	9.9273567
1.0824461	0.87087035	5.3244014	9.8779879
1.0871239	0.85798383	5.3244014	9.9026728
1.0840054	0.87956876	5.3260827	9.9314709
1.0777682	0.87860227	5.325242	9.9314709
1.0824461	0.88343471	5.325242	9.9355841
1.0871239	0.87054819	5.3244014	9.9026728
1.0840054	0.86732656	5.3235598	9.9479265
1.0855646	0.8844012	5.3244014	9.9355841
1.0824461	0.88343471	5.3260827	9.9643831
1.0886831	0.87538064	5.3269234	9.9150143
1.0855646	0.87505847	5.325242	9.9150143
1.0902424	0.8782801	5.3244014	9.9026728
1.0918016	0.88601202	5.3269234	9.9273567
1.0871239	0.86990386	5.3235598	9.9109001
1.0840054	0.87054819	5.325242	9.8944445
1.0902424	0.88021308	5.3244014	9.9109001
1.0918016	0.88923365	5.3260827	9.9396982
1.0840054	0.88955581	5.3244014	9.9273567
1.0855646	0.88730067	5.3244014	9.9026728
1.0840054	0.89020014	5.3244014	9.9479265
1.0902424	0.89020014	5.3244014	9.9355841
1.0871239	0.8844012	5.3244014	9.9273567
1.0855646	0.87312549	5.3244014	9.9026728
1.0918016	0.86313844	5.3269234	9.8903303
1.0918016	0.85637301	5.325242	9.9026728
1.0840054	0.86442709	5.3244014	9.9109001
1.0902424	0.86217195	5.325242	9.9026728
1.0808868	0.87666929	5.3227191	9.9438124
1.0793276	0.88697851	5.3235598	9.9232426
1.0964794	0.87860227	5.3260827	9.8944445
1.0840054	0.88375688	5.3244014	9.9026728
1.0824461	0.87860227	5.3260827	9.8985586
1.0855646	0.88762283	5.3260827	9.9150143
1.0855646	0.89793199	5.325242	9.960269
1.0824461	0.89245528	5.325242	9.9191284
1.0871239	0.88633418	5.3244014	9.9232426
1.0871239	0.88214606	5.3244014	9.8985586
1.0918016	0.88343471	5.3260827	9.9150143
1.0824461	0.88053524	5.3244014	9.9314709
1.0808868	0.87699145	5.3269234	9.9150143
1.0855646	0.88536769	5.3227191	9.9314709
1.0949202	0.88536769	5.325242	9.9314709
1.0886831	0.86152762	5.3269234	9.9191284
1.0902424	0.86442709	5.325242	9.9191284
1.0918016	0.87119251	5.3235598	9.9314709
1.0933609	0.87860227	5.325242	9.9355841
1.0886831	0.88762283	5.3244014	9.9150143
1.0902424	0.86861521	5.325242	9.8985586
1.0902424	0.87376982	5.325242	9.8903303
1.0886831	0.89535475	5.325242	9.9396982
1.0902424	0.90630823	5.3260827	9.9438124
1.0855646	0.90405309	5.3260827	9.9150143
1.0871239	0.87956876	5.3244014	9.9026728
1.0980387	0.87505847	5.325242	9.9150143
1.0933609	0.86829305	5.3244014	9.9150143
1.0871239	0.86442709	5.3260827	9.9314709
1.0840054	0.8573395	5.3244014	9.906786
1.0871239	0.8573395	5.3235598	9.9232426
1.0886831	0.85991681	5.3244014	9.9026728
1.0871239	0.87248117	5.3244014	9.9355841
1.0918016	0.8634606	5.325242	9.8944445
1.0824461	0.87280333	5.325242	9.9150143
1.0886831	0.90083146	5.325242	9.9726105
1.0808868	0.89599907	5.3260827	9.9273567
1.0902424	0.88150173	5.3269234	9.8944445
1.0902424	0.87892443	5.325242	9.9109001
1.0871239	0.88117957	5.3244014	9.9438124
1.0840054	0.88665634	5.325242	9.9314709
1.0933609	0.8818239	5.3260827	9.906786
1.0840054	0.88891149	5.3244014	9.9191284
