Fout	Lin	Lout	sono
1.6250705	0.53098881	4.7442164	15.946167
1.6250705	0.85959464	4.7425351	15.974966
1.6235113	1.0593356	4.7458982	15.954395
1.6297482	1.1785358	4.7442164	15.966738
1.6344261	1.2568214	4.7450576	15.95851
1.6250705	1.2993469	4.7425351	15.95851
1.6188335	1.3244756	4.7450576	15.950282
1.6235113	1.3228649	4.7442164	15.962624
1.628189	1.3331741	4.7442164	15.933826
1.6266297	1.3383287	4.7450576	15.974966
1.6235113	1.3376844	4.7442164	15.946167
1.6235113	1.3460606	4.7450576	15.974966
1.6297482	1.340906	4.7433758	15.979079
1.6266297	1.3702228	4.7442164	16.036676
1.6235113	1.3747331	4.7450576	15.991423
1.6203928	1.3608801	4.7442164	15.974966
1.6250705	1.3454163	4.7442164	16.003763
1.6266297	1.3473493	4.7442164	15.966738
1.6250705	1.3357514	4.7442164	15.950282
1.6219521	1.3434833	4.7475801	15.966738
1.6235113	1.3415504	4.7467394	15.979079
1.628189	1.3534703	4.7458982	15.970852
1.6219521	1.3499266	4.7458982	15.966738
1.6266297	1.3605579	4.7458982	16.011992
1.6219521	1.3392951	4.7450576	15.950282
1.628189	1.3373622	4.7450576	15.966738
1.6266297	1.34896	4.7458982	15.966738
1.6235113	1.3341405	4.7450576	15.933826
1.628189	1.3322076	4.7450576	15.950282
1.6250705	1.319321	4.7433758	15.966738
1.6219521	1.3325298	4.7442164	15.987308
1.628189	1.3421947	4.7458982	15.95851
1.6313075	1.3331741	4.7450576	15.966738
1.6235113	1.3560476	4.7433758	16.011992
1.6235113	1.3334962	4.7450576	15.946167
1.6250705	1.3402617	4.7442164	15.974966
1.6219521	1.3512152	4.7425351	15.979079
1.6266297	1.3579806	4.7442164	15.979079
1.6235113	1.3525039	4.7442164	15.979079
1.6235113	1.340906	4.7458982	15.954395
1.628189	1.3550812	4.7458982	15.987308
1.6266297	1.340906	4.7442164	15.966738
1.6266297	1.3434833	4.7442164	15.987308
1.6250705	1.3286638	4.7458982	15.950282
1.6219521	1.3322076	4.7442164	15.974966
1.6266297	1.342839	4.7458982	15.95851
1.6203928	1.3557255	4.7442164	15.995536
1.6297482	1.3502487	4.7450576	15.991423
1.6297482	1.3583028	4.7433758	15.983194
1.6266297	1.3512152	4.7442164	15.95851
1.6235113	1.354759	4.7450576	15.979079
1.6250705	1.3544369	4.7442164	15.954395
1.6266297	1.3518596	4.7450576	15.970852
1.6235113	1.3486379	4.7450576	15.966738
1.6235113	1.3376844	4.7442164	15.954395
1.6219521	1.3425168	4.7450576	15.966738
1.6219521	1.3525039	4.7433758	15.954395
1.6235113	1.3537925	4.7442164	15.974966
1.6250705	1.3392951	4.7450576	15.933826
1.6266297	1.3450941	4.7450576	15.95851
1.6297482	1.3570142	4.7475801	15.946167
1.6203928	1.3434833	4.7450576	15.950282
1.6235113	1.3525039	4.7433758	15.979079
1.628189	1.3541147	4.7433758	15.983194
1.6266297	1.3615245	4.7458982	15.987308
1.6266297	1.3360735	4.7458982	15.950282
1.6266297	1.3228649	4.7450576	15.942054
1.6266297	1.3228649	4.7450576	15.954395
1.628189	1.3315632	4.7450576	15.979079
1.6266297	1.3344628	4.7442164	15.970852
1.6235113	1.3351071	4.7450576	15.954395
1.6266297	1.3515373	4.7442164	16.007879
1.6297482	1.3505709	4.7442164	15.962624
1.6266297	1.3612022	4.7442164	15.987308
1.628189	1.3641018	4.7442164	15.970852
1.6313075	1.3444498	4.7450576	15.946167
1.6219521	1.3383287	4.7433758	15.966738
1.628189	1.3309189	4.7450576	15.95851
1.6250705	1.3305968	4.7450576	15.950282
1.6235113	1.3302746	4.7433758	15.962624
1.6313075	1.3347849	4.7458982	15.974966
1.6250705	1.3312411	4.7442164	15.979079
1.6235113	1.3415504	4.7450576	15.983194
1.6250705	1.3383287	4.7442164	15.954395
1.6219521	1.346705	4.7458982	15.966738
1.6266297	1.3486379	4.7450576	16.003763
1.6250705	1.3695785	4.7433758	15.983194
1.6266297	1.3702228	4.7450576	15.987308
1.6235113	1.3747331	4.7442164	16.011992
1.6203928	1.3779547	4.7442164	16.007879
1.6235113	1.3631352	4.7433758	15.962624
1.6266297	1.3615245	4.7433758	15.962624
1.6250705	1.3460606	4.7450576	15.991423
1.6266297	1.3341405	4.7450576	15.962624
1.6250705	1.3399395	4.7425351	15.95851
1.628189	1.3537925	4.7458982	15.987308
1.6250705	1.3624909	4.7475801	15.995536
1.6219521	1.3689342	4.7450576	15.991423
1.6219521	1.3731223	4.7425351	16.003763
1.6266297	1.3711894	4.7442164	15.966738
1.6266297	1.3589472	4.7442164	15.962624
1.6203928	1.3341405	4.7442164	15.933826
1.6266297	1.3296303	4.7450576	15.987308
1.6203928	1.3418725	4.7458982	15.970852
1.6266297	1.3450941	4.7433758	16.003763
1.6250705	1.3438054	4.7433758	15.966738
1.6219521	1.3641018	4.7450576	15.991423
1.6203928	1.3644239	4.7458982	15.966738
1.6250705	1.3608801	4.7433758	15.970852
1.6203928	1.3425168	4.7433758	15.974966
1.6219521	1.3479936	4.7433758	15.954395
1.6235113	1.3515373	4.7458982	15.954395
1.6203928	1.3425168	4.7433758	15.974966
1.6266297	1.3525039	4.7442164	15.99965
1.628189	1.3486379	4.7450576	15.970852
1.6266297	1.354759	4.7458982	15.983194
1.6219521	1.3418725	4.7450576	15.983194
1.6235113	1.340906	4.7433758	15.970852
1.6235113	1.3370401	4.7425351	15.95851
1.6219521	1.3322076	4.7433758	15.974966
1.6266297	1.3479936	4.7450576	15.974966
1.6266297	1.3444498	4.7442164	15.966738
1.6266297	1.3641018	4.7442164	15.966738
1.628189	1.3718337	4.7450576	15.995536
1.6219521	1.3766661	4.7433758	15.983194
1.6266297	1.3808542	4.7442164	15.987308
1.6250705	1.3679677	4.7450576	15.979079
1.6203928	1.3628131	4.7442164	15.979079
1.6203928	1.3399395	4.7442164	15.95851
1.6235113	1.3460606	4.7450576	15.983194
1.628189	1.346705	4.7450576	15.970852
1.6219521	1.344772	4.7467394	15.95851
1.6219521	1.3560476	4.7458982	15.966738
1.6203928	1.350893	4.7442164	15.954395
1.6235113	1.34896	4.7458982	15.954395
1.6235113	1.3595915	4.7450576	15.954395
1.6219521	1.3373622	4.7450576	15.950282
1.6250705	1.3608801	4.7433758	15.99965
1.6266297	1.3531482	4.7450576	15.987308
1.6235113	1.3657125	4.7433758	15.991423
1.6188335	1.3631352	4.7442164	16.007879
1.6250705	1.3608801	4.7442164	15.979079
1.6203928	1.3686121	4.7425351	15.983194
1.6235113	1.3579806	4.7433758	15.974966
1.6219521	1.3628131	4.7433758	15.979079
1.6235113	1.3541147	4.7442164	15.991423
1.6266297	1.3502487	4.7450576	15.983194
1.6250705	1.3386508	4.7450576	15.95851
1.628189	1.3412281	4.7450576	15.970852
1.6250705	1.3502487	4.7442164	15.970852
1.6219521	1.3363957	4.7450576	15.970852
1.6203928	1.3267308	4.7458982	15.93794
1.6250705	1.3328519	4.7442164	15.970852
1.6266297	1.3386508	4.7450576	15.962624
1.6219521	1.3460606	4.7425351	16.003763
1.628189	1.3457384	4.7433758	15.974966
1.6235113	1.3573363	4.7425351	15.987308
1.6250705	1.3728001	4.7450576	15.987308
1.6250705	1.3624909	4.7450576	15.950282
1.6235113	1.3496044	4.7442164	15.974966
1.6250705	1.3438054	4.7433758	15.991423
1.6250705	1.3595915	4.7442164	15.983194
1.6219521	1.3515373	4.7458982	15.970852
1.6266297	1.3473493	4.7458982	15.979079
1.6235113	1.3573363	4.7450576	16.024334
1.6235113	1.3631352	4.7442164	15.974966
1.6250705	1.3641018	4.7425351	15.979079
1.6219521	1.3328519	4.7442164	15.95851
1.6250705	1.3418725	4.7433758	15.95851
1.6266297	1.3402617	4.7442164	15.979079
1.6250705	1.3344628	4.7442164	15.954395
1.6203928	1.3247979	4.7458982	15.970852
1.6297482	1.3360735	4.7450576	15.966738
1.6203928	1.3457384	4.7442164	15.970852
1.6219521	1.3602358	4.7442164	15.983194
1.6250705	1.3599136	4.7442164	15.962624
1.6266297	1.3579806	4.7450576	15.966738
1.628189	1.3595915	4.7450576	15.95851
1.6172743	1.3444498	4.7450576	15.950282
1.6266297	1.350893	4.7442164	15.983194
1.6235113	1.3363957	4.7450576	15.974966
1.6250705	1.3415504	4.7433758	16.003763
1.6313075	1.340906	4.7450576	15.962624
1.6235113	1.3412281	4.7450576	15.970852
1.6235113	1.3512152	4.7450576	15.954395
1.6250705	1.346705	4.7450576	15.95851
1.6250705	1.356692	4.7433758	15.962624
1.6250705	1.3312411	4.7467394	15.942054
1.6266297	1.3438054	4.7450576	15.979079
1.6266297	1.3473493	4.7442164	15.954395
1.6203928	1.34896	4.7433758	15.95851
1.6219521	1.344772	4.7442164	15.962624
1.6219521	1.3476714	4.7458982	15.950282
1.6203928	1.3695785	4.7442164	15.962624
1.6235113	1.3537925	4.7450576	15.95851
1.6203928	1.3525039	4.7442164	15.974966
1.6172743	1.3602358	4.7425351	15.991423
1.6188335	1.340906	4.7442164	15.974966
1.6219521	1.3657125	4.7442164	15.991423
1.6250705	1.3492823	4.7450576	15.970852
1.628189	1.3473493	4.7442164	15.974966
1.628189	1.350893	4.7425351	15.99965
1.6250705	1.3554033	4.7450576	15.974966
1.6235113	1.3595915	4.7450576	15.983194
1.6250705	1.3405838	4.7442164	15.970852
1.6235113	1.3302746	4.7442164	15.983194
